CBSA_CODE,YEAR,unemployment_rate,unemployment_yoy,unemployment_vs_national
10100,2009,3.3667,,-5.9166
10100,2010,3.7,0.3333,-5.9083
10100,2011,3.675,-0.025,-5.2583
10100,2012,3.3083,-0.3667,-4.7667
10100,2013,3.15,-0.1583,-4.2083
10100,2014,2.825,-0.325,-3.3333
10100,2015,2.5917,-0.2333,-2.6833
10100,2016,2.6167,0.025,-2.2583
10100,2017,2.7083,0.0916,-1.65
10100,2018,2.5333,-0.175,-1.3584
10100,2019,2.5167,-0.0166,-1.1583
10100,2020,3.75,1.2333,-4.35
10100,2021,2.4167,-1.3333,-2.9333
10100,2022,2.0083,-0.4084,-1.6417
10100,2023,1.775,-0.2333,-1.85
10100,2024,1.7583,-0.0167,-2.2667
10100,2025,1.9636,0.2053,-2.3
10140,2009,12.9583,,3.675
10140,2010,13.025,0.0667,3.4167
10140,2011,13.375,0.35,4.4417
10140,2012,13.3417,-0.0333,5.2667
10140,2013,11.475,-1.8667,4.1167
10140,2014,9.8583,-1.6167,3.7
10140,2015,9.15,-0.7083,3.875
10140,2016,8.0583,-1.0917,3.1833
10140,2017,6.8583,-1.2,2.5
10140,2018,6.7083,-0.15,2.8166
10140,2019,7.1083,0.4,3.4333
10140,2020,11.1083,4.0,3.0083
10140,2021,7.0917,-4.0166,1.7417
10140,2022,5.6667,-1.425,2.0167
10140,2023,5.8917,0.225,2.2667
10140,2024,6.2417,0.35,2.2167
10140,2025,5.8727,-0.369,1.6091
10180,2009,5.8333,,-3.45
10180,2010,7.05,1.2167,-2.5583
10180,2011,7.0,-0.05,-1.9333
10180,2012,5.7917,-1.2083,-2.2833
10180,2013,5.475,-0.3167,-1.8833
10180,2014,4.4,-1.075,-1.7583
10180,2015,3.8917,-0.5083,-1.3833
10180,2016,3.9167,0.025,-0.9583
10180,2017,3.6917,-0.225,-0.6666
10180,2018,3.325,-0.3667,-0.5667
10180,2019,2.9917,-0.3333,-0.6833
10180,2020,5.5833,2.5916,-2.5167
10180,2021,4.55,-1.0333,-0.8
10180,2022,3.475,-1.075,-0.175
10180,2023,3.4833,0.0083,-0.1417
