disasterNumber,fipsStateCode,fipsCountyCode,incidentBeginDate,incidentEndDate,declarationDate,incidentType,designatedIncidentTypes,declarationType,iaProgramDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,is_statewide
1310,21,007,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,0,0,1,0,False
1310,21,027,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,0,0,1,0,False
1310,21,039,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,0,0,1,0,False
1310,21,055,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,1,1,False
1310,21,059,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,1,1,False
1310,21,091,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,0,0,False
1310,21,101,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,0,0,False
1310,21,107,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,1,1,False
1310,21,139,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,0,0,1,0,False
1310,21,215,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,0,0,1,0,False
1310,21,233,2000-01-03,2000-01-04,2000-01-10,Tornado,"W,F",DR,1,0,1,1,False
2289,48,497,2000-01-03,2000-01-03,2000-01-03,Fire,,FM,0,0,1,0,False
2290,48,091,2000-01-04,2000-01-04,2000-01-04,Fire,,FM,0,0,1,0,False
2291,48,021,2000-01-05,2000-01-05,2000-01-05,Fire,,FM,0,0,1,0,False
1317,01,019,2000-01-22,2000-01-29,2000-02-18,Severe Storm,,DR,0,0,1,0,False
1317,01,049,2000-01-22,2000-01-29,2000-02-18,Severe Storm,,DR,0,0,1,0,False
1317,01,071,2000-01-22,2000-01-29,2000-02-18,Severe Storm,,DR,0,0,1,0,False
1311,13,011,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,013,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,015,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,035,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,045,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,047,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,055,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,057,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,059,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,067,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,085,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,089,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,097,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,105,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,111,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,115,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,117,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,119,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
1311,13,121,2000-01-22,2000-02-01,2000-01-28,Severe Storm,,DR,0,0,1,1,False
