CBSA_CODE,YEAR,MONTH,unemployment_rate_monthly
10100,2009,1,3.4
10100,2009,2,3.9
10100,2009,3,4.0
10100,2009,4,3.7
10100,2009,5,3.7
10100,2009,6,3.5
10100,2009,7,2.9
10100,2009,8,3.0
10100,2009,9,2.9
10100,2009,10,2.9
10100,2009,11,2.9
10100,2009,12,3.6
10100,2010,1,4.1
10100,2010,2,4.1
10100,2010,3,4.0
10100,2010,4,4.0
10100,2010,5,3.8
10100,2010,6,3.5
10100,2010,7,3.4
10100,2010,8,3.3
10100,2010,9,3.3
10100,2010,10,3.3
10100,2010,11,3.5
10100,2010,12,4.1
10100,2011,1,4.4
10100,2011,2,4.6
10100,2011,3,4.3
10100,2011,4,3.8
10100,2011,5,3.7
10100,2011,6,3.6
10100,2011,7,3.3
10100,2011,8,3.4
10100,2011,9,3.2
10100,2011,10,3.1
10100,2011,11,3.1
10100,2011,12,3.6
10100,2012,1,3.7
10100,2012,2,3.9
10100,2012,3,3.8
10100,2012,4,3.3
10100,2012,5,3.3
10100,2012,6,3.3
10100,2012,7,3.2
10100,2012,8,3.2
10100,2012,9,2.8
10100,2012,10,2.9
10100,2012,11,3.0
10100,2012,12,3.3
10100,2013,1,3.7
10100,2013,2,3.7
10100,2013,3,3.3
10100,2013,4,3.3
10100,2013,5,3.1
10100,2013,6,3.1
10100,2013,7,2.8
10100,2013,8,3.4
10100,2013,9,3.0
10100,2013,10,2.8
10100,2013,11,2.7
10100,2013,12,2.9
10100,2014,1,3.3
10100,2014,2,3.5
10100,2014,3,3.3
10100,2014,4,3.0
10100,2014,5,2.7
10100,2014,6,2.7
10100,2014,7,2.5
10100,2014,8,2.6
10100,2014,9,2.4
10100,2014,10,2.3
10100,2014,11,2.7
10100,2014,12,2.9
10100,2015,1,3.2
10100,2015,2,3.1
10100,2015,3,2.9
10100,2015,4,2.6
10100,2015,5,2.7
10100,2015,6,2.4
10100,2015,7,2.4
10100,2015,8,2.3
10100,2015,9,2.2
10100,2015,10,2.2
10100,2015,11,2.4
10100,2015,12,2.7
10100,2016,1,2.7
10100,2016,2,2.9
10100,2016,3,2.6
10100,2016,4,2.6
10100,2016,5,2.4
10100,2016,6,2.6
