CBSA_CODE,CBSA_TITLE,YEAR,predicted_growth_2026,recommendation_label,zhvi_sfr_mid_dec,had_major_disaster_ann,damage_property_sum_ann
41940,"San Jose-Sunnyvale-Santa Clara, CA",2025,16.4724,Attractive,1756597.7099270488,0,10
27220,"Jackson, WY-ID",2025,14.2276,Attractive,1495092.6353837328,0,13000
47240,"Vineyard Haven, MA",2025,13.647,Attractive,1509991.060813987,0,0
14720,"Breckenridge, CO",2025,13.5233,Attractive,1413939.5611168572,0,0
20780,"Edwards, CO",2025,13.2164,Attractive,1450808.0297957037,0,0
41860,"San Francisco-Oakland-Fremont, CA",2025,11.8505,Attractive,1201456.4967507496,0,20
44460,"Steamboat Springs, CO",2025,11.8282,Attractive,1293737.3947906506,0,0
27980,"Kahului-Wailuku, HI",2025,11.1545,Attractive,1093334.0610764977,0,100000
25720,"Heber, UT",2025,11.0801,Attractive,1181253.1437304968,0,1000
42100,"Santa Cruz-Watsonville, CA",2025,11.0544,Attractive,1161230.5924899138,0,0
25200,"Hailey, ID",2025,10.7836,Attractive,1183166.7300670836,0,15000
28180,"Kapaa, HI",2025,10.3363,Attractive,1048249.1826242354,0,0
46520,"Urban Honolulu, HI",2025,10.1495,Attractive,1040210.5146222828,0,150000
42200,"Santa Maria-Santa Barbara, CA",2025,10.069,Attractive,1033574.3333174672,0,2000
31080,"Los Angeles-Long Beach-Anaheim, CA",2025,9.9227,Attractive,1009779.4661041956,1,3000
28580,"Key West-Key Largo, FL",2025,9.8808,Attractive,990016.251389046,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2025,9.8141,Attractive,993224.5373596754,0,0
40090,"Rifle, CO",2025,9.5137,Attractive,932349.5030878512,0,0
42020,"San Luis Obispo-Paso Robles, CA",2025,9.2095,Attractive,915470.5120037243,0,4000
37100,"Oxnard-Thousand Oaks-Ventura, CA",2025,9.0111,Attractive,905196.0036204464,0,2000
34900,"Napa, CA",2025,8.9301,Attractive,901398.165444152,0,10
23660,"Galesburg, IL",2025,8.73,Attractive,108820.24767718551,0,0
23300,"Freeport, IL",2025,8.6154,Attractive,147913.17892500723,0,0
35580,"New Ulm, MN",2025,8.591,Attractive,230743.39623793887,0,0
38700,"Pontiac, IL",2025,8.4471,Attractive,156750.98364274114,0,0
41500,"Salinas, CA",2025,8.4456,Attractive,846224.3766335262,0,20
33020,"Mexico, MO",2025,8.4342,Attractive,177365.0603519189,0,170000
44620,"Stevens Point-Plover, WI",2025,8.3221,Attractive,297764.24884071935,0,0
28540,"Ketchikan, AK",2025,8.2365,Attractive,419591.8236458677,0,0
43380,"Sidney, OH",2025,8.1895,Attractive,232091.8610061004,0,61500
35620,"New York-Newark-Jersey City, NY-NJ",2025,8.1895,Attractive,722645.1459530685,0,486000
14460,"Boston-Cambridge-Newton, MA-NH",2025,8.0376,Attractive,748552.7077574696,0,98500
42220,"Santa Rosa-Petaluma, CA",2025,7.9976,Attractive,805696.1759414552,0,30
12700,"Barnstable Town, MA",2025,7.9623,Attractive,771186.5896942528,0,300
42660,"Seattle-Tacoma-Bellevue, WA",2025,7.8884,Attractive,777229.829070239,1,0
40300,"Rochelle, IL",2025,7.8635,Attractive,213989.40004949435,0,1000
20300,"Dumas, TX",2025,7.8594,Attractive,179465.28419357014,0,466000
45380,"Taylorville, IL",2025,7.8587,Attractive,127523.39839227172,0,0
21540,"Escanaba, MI",2025,7.8194,Attractive,187244.46867891095,0,101000
27420,"Jamestown, ND",2025,7.8069,Attractive,220820.86052531193,1,14227000
43020,"Shawano, WI",2025,7.7605,Attractive,256580.71260642723,0,0
14500,"Boulder, CO",2025,7.6738,Attractive,771530.805743223,0,0
23820,"Gardnerville Ranchos, NV-CA",2025,7.6314,Attractive,679125.7138960203,0,0
48780,"Williston, ND",2025,7.6237,Attractive,341101.1147451852,0,25000
19860,"Dickinson, ND",2025,7.6019,Attractive,313272.59684893664,0,1066000
20420,"Durango, CO",2025,7.5839,Attractive,691028.2512642463,0,0
37900,"Peoria, IL",2025,7.571,Attractive,161279.32115379898,0,8000
20940,"El Centro, CA",2025,7.5342,Attractive,369250.90362518,0,4694000
37940,"Peru, IN",2025,7.4206,Attractive,152719.49836165152,0,200000
13180,"Beaver Dam, WI",2025,7.4082,Attractive,305737.0559304974,0,7317500
19940,"Dixon, IL",2025,7.3986,Attractive,171520.23487289753,0,0
30260,"Lewisburg, PA",2025,7.3983,Attractive,275159.0117149078,0,20000
43100,"Sheboygan, WI",2025,7.3977,Attractive,309693.1142877264,0,30000
14580,"Bozeman, MT",2025,7.3654,Attractive,733335.8651542612,0,0
40420,"Rockford, IL",2025,7.351,Attractive,207085.20092436977,0,30000
49220,"Wisconsin Rapids-Marshfield, WI",2025,7.2944,Attractive,213698.14059655252,0,0
32100,"Marquette, MI",2025,7.2813,Attractive,232996.63902160907,0,48500
40980,"Saginaw, MI",2025,7.2713,Attractive,160270.50747527878,0,150000
11540,"Appleton, WI",2025,7.2491,Attractive,333122.33231825766,0,0
27500,"Janesville-Beloit, WI",2025,7.1799,Attractive,278822.8431128706,0,76000
