CBSA_CODE,CBSA_TITLE,YEAR,predicted_growth_2026,recommendation_label,zhvi_sfr_mid_dec,mortgage_rate_avg,mortgage_rate_yoy,cpi_yoy_pct,unemployment_rate,unemployment_yoy,unemployment_vs_national,had_major_disaster_ann,damage_property_sum_ann
41940,"San Jose-Sunnyvale-Santa Clara, CA",2025,16.4724,Attractive,1756597.7099270488,6.5951,-0.1261,2.6344,4.3273,0.1106,0.0637,0,10
27220,"Jackson, WY-ID",2025,14.2276,Attractive,1495092.6353837328,6.5951,-0.1261,2.6344,2.4909,-0.0091,-1.7727,0,13000
47240,"Vineyard Haven, MA",2025,13.647,Attractive,1509991.060813987,6.5951,-0.1261,2.6344,5.8,0.7833,1.5364,0,0
14720,"Breckenridge, CO",2025,13.5233,Attractive,1413939.5611168572,6.5951,-0.1261,2.6344,3.2091,-0.0409,-1.0545,0,0
20780,"Edwards, CO",2025,13.2164,Attractive,1450808.0297957037,6.5951,-0.1261,2.6344,3.4545,-0.0705,-0.8091,0,0
41860,"San Francisco-Oakland-Fremont, CA",2025,11.8505,Attractive,1201456.4967507496,6.5951,-0.1261,2.6344,4.3727,0.1977,0.1091,0,20
44460,"Steamboat Springs, CO",2025,11.8282,Attractive,1293737.3947906506,6.5951,-0.1261,2.6344,3.6364,-0.2553,-0.6272,0,0
27980,"Kahului-Wailuku, HI",2025,11.1545,Attractive,1093334.0610764977,6.5951,-0.1261,2.6344,2.9273,-1.4144,-1.3363,0,100000
25720,"Heber, UT",2025,11.0801,Attractive,1181253.1437304968,6.5951,-0.1261,2.6344,2.8818,0.0318,-1.3818,0,1000
42100,"Santa Cruz-Watsonville, CA",2025,11.0544,Attractive,1161230.5924899138,6.5951,-0.1261,2.6344,6.2727,0.3477,2.0091,0,0
25200,"Hailey, ID",2025,10.7836,Attractive,1183166.7300670836,6.5951,-0.1261,2.6344,3.2182,-0.0401,-1.0454,0,15000
28180,"Kapaa, HI",2025,10.3363,Attractive,1048249.1826242354,6.5951,-0.1261,2.6344,2.3727,-0.2523,-1.8909,0,0
46520,"Urban Honolulu, HI",2025,10.1495,Attractive,1040210.5146222828,6.5951,-0.1261,2.6344,2.4545,-0.2538,-1.8091,0,150000
42200,"Santa Maria-Santa Barbara, CA",2025,10.069,Attractive,1033574.3333174672,6.5951,-0.1261,2.6344,4.7091,0.2341,0.4455,0,2000
31080,"Los Angeles-Long Beach-Anaheim, CA",2025,9.9227,Attractive,1009779.4661041956,6.5951,-0.1261,2.6344,5.3455,-0.0045,1.0819,1,3000
28580,"Key West-Key Largo, FL",2025,9.8808,Attractive,990016.251389046,6.5951,-0.1261,2.6344,2.8091,0.5091,-1.4545,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2025,9.8141,Attractive,993224.5373596754,6.5951,-0.1261,2.6344,4.5727,0.256,0.3091,0,0
40090,"Rifle, CO",2025,9.5137,Attractive,932349.5030878512,6.5951,-0.1261,2.6344,3.3,-0.3417,-0.9636,0,0
42020,"San Luis Obispo-Paso Robles, CA",2025,9.2095,Attractive,915470.5120037243,6.5951,-0.1261,2.6344,4.4364,0.3614,0.1728,0,4000
37100,"Oxnard-Thousand Oaks-Ventura, CA",2025,9.0111,Attractive,905196.0036204464,6.5951,-0.1261,2.6344,4.8273,0.2356,0.5637,0,2000
34900,"Napa, CA",2025,8.9301,Attractive,901398.165444152,6.5951,-0.1261,2.6344,4.1636,0.2469,-0.1,0,10
23660,"Galesburg, IL",2025,8.73,Attractive,108820.24767718551,6.5951,-0.1261,2.6344,4.8,-0.45,0.5364,0,0
23300,"Freeport, IL",2025,8.6154,Attractive,147913.17892500723,6.5951,-0.1261,2.6344,4.4182,-0.4318,0.1546,0,0
35580,"New Ulm, MN",2025,8.591,Attractive,230743.39623793887,6.5951,-0.1261,2.6344,3.7818,0.5985,-0.4818,0,0
38700,"Pontiac, IL",2025,8.4471,Attractive,156750.98364274114,6.5951,-0.1261,2.6344,3.8818,-0.2182,-0.3818,0,0
41500,"Salinas, CA",2025,8.4456,Attractive,846224.3766335262,6.5951,-0.1261,2.6344,7.6545,0.3295,3.3909,0,20
33020,"Mexico, MO",2025,8.4342,Attractive,177365.0603519189,6.5951,-0.1261,2.6344,3.9364,0.3447,-0.3272,0,170000
44620,"Stevens Point-Plover, WI",2025,8.3221,Attractive,297764.24884071935,6.5951,-0.1261,2.6344,3.1273,0.2273,-1.1363,0,0
28540,"Ketchikan, AK",2025,8.2365,Attractive,419591.8236458677,6.5951,-0.1261,2.6344,4.4,0.4333,0.1364,0,0
43380,"Sidney, OH",2025,8.1895,Attractive,232091.8610061004,6.5951,-0.1261,2.6344,4.3455,0.4288,0.0819,0,61500
35620,"New York-Newark-Jersey City, NY-NJ",2025,8.1895,Attractive,722645.1459530685,6.5951,-0.1261,2.6344,4.6273,0.1023,0.3637,0,486000
14460,"Boston-Cambridge-Newton, MA-NH",2025,8.0376,Attractive,748552.7077574696,6.5951,-0.1261,2.6344,4.4182,0.7349,0.1546,0,98500
42220,"Santa Rosa-Petaluma, CA",2025,7.9976,Attractive,805696.1759414552,6.5951,-0.1261,2.6344,4.3909,0.2659,0.1273,0,30
12700,"Barnstable Town, MA",2025,7.9623,Attractive,771186.5896942528,6.5951,-0.1261,2.6344,5.5182,0.6515,1.2546,0,300
42660,"Seattle-Tacoma-Bellevue, WA",2025,7.8884,Attractive,777229.829070239,6.5951,-0.1261,2.6344,4.6364,0.3197,0.3728,1,0
40300,"Rochelle, IL",2025,7.8635,Attractive,213989.40004949435,6.5951,-0.1261,2.6344,4.5,-0.475,0.2364,0,1000
20300,"Dumas, TX",2025,7.8594,Attractive,179465.28419357014,6.5951,-0.1261,2.6344,2.8545,-0.1038,-1.4091,0,466000
45380,"Taylorville, IL",2025,7.8587,Attractive,127523.39839227172,6.5951,-0.1261,2.6344,4.1273,-0.1477,-0.1363,0,0
21540,"Escanaba, MI",2025,7.8194,Attractive,187244.46867891095,6.5951,-0.1261,2.6344,6.8,0.6583,2.5364,0,101000
27420,"Jamestown, ND",2025,7.8069,Attractive,220820.86052531193,6.5951,-0.1261,2.6344,2.4818,0.1651,-1.7818,1,14227000
43020,"Shawano, WI",2025,7.7605,Attractive,256580.71260642723,6.5951,-0.1261,2.6344,3.2364,0.1447,-1.0272,0,0
14500,"Boulder, CO",2025,7.6738,Attractive,771530.805743223,6.5951,-0.1261,2.6344,4.2182,0.0182,-0.0454,0,0
23820,"Gardnerville Ranchos, NV-CA",2025,7.6314,Attractive,679125.7138960203,6.5951,-0.1261,2.6344,4.6,-0.375,0.3364,0,0
48780,"Williston, ND",2025,7.6237,Attractive,341101.1147451852,6.5951,-0.1261,2.6344,2.7,0.225,-1.5636,0,25000
19860,"Dickinson, ND",2025,7.6019,Attractive,313272.59684893664,6.5951,-0.1261,2.6344,2.5,0.175,-1.7636,0,1066000
20420,"Durango, CO",2025,7.5839,Attractive,691028.2512642463,6.5951,-0.1261,2.6344,3.9182,-0.1985,-0.3454,0,0
37900,"Peoria, IL",2025,7.571,Attractive,161279.32115379898,6.5951,-0.1261,2.6344,4.6455,-0.2295,0.3819,0,8000
20940,"El Centro, CA",2025,7.5342,Attractive,369250.90362518,6.5951,-0.1261,2.6344,18.8,0.45,14.5364,0,4694000
37940,"Peru, IN",2025,7.4206,Attractive,152719.49836165152,6.5951,-0.1261,2.6344,4.2909,-0.7174,0.0273,0,200000
13180,"Beaver Dam, WI",2025,7.4082,Attractive,305737.0559304974,6.5951,-0.1261,2.6344,2.7182,0.1349,-1.5454,0,7317500
19940,"Dixon, IL",2025,7.3986,Attractive,171520.23487289753,6.5951,-0.1261,2.6344,4.4636,-0.4364,0.2,0,0
30260,"Lewisburg, PA",2025,7.3983,Attractive,275159.0117149078,6.5951,-0.1261,2.6344,3.8364,0.4697,-0.4272,0,20000
43100,"Sheboygan, WI",2025,7.3977,Attractive,309693.1142877264,6.5951,-0.1261,2.6344,2.7636,0.2719,-1.5,0,30000
14580,"Bozeman, MT",2025,7.3654,Attractive,733335.8651542612,6.5951,-0.1261,2.6344,2.4091,0.1174,-1.8545,0,0
40420,"Rockford, IL",2025,7.351,Attractive,207085.20092436977,6.5951,-0.1261,2.6344,5.1636,-0.4614,0.9,0,30000
49220,"Wisconsin Rapids-Marshfield, WI",2025,7.2944,Attractive,213698.14059655252,6.5951,-0.1261,2.6344,3.4455,0.2288,-0.8181,0,0
32100,"Marquette, MI",2025,7.2813,Attractive,232996.63902160907,6.5951,-0.1261,2.6344,6.0455,0.8955,1.7819,0,48500
40980,"Saginaw, MI",2025,7.2713,Attractive,160270.50747527878,6.5951,-0.1261,2.6344,6.9273,1.0356,2.6637,0,150000
11540,"Appleton, WI",2025,7.2491,Attractive,333122.33231825766,6.5951,-0.1261,2.6344,2.7636,0.2886,-1.5,0,0
27500,"Janesville-Beloit, WI",2025,7.1799,Attractive,278822.8431128706,6.5951,-0.1261,2.6344,3.4909,0.2659,-0.7727,0,76000
22380,"Flagstaff, AZ",2025,7.155,Attractive,638541.568073844,6.5951,-0.1261,2.6344,4.6182,0.7682,0.3546,0,0
39940,"Rexburg, ID",2025,7.1488,Attractive,425006.10925531265,6.5951,-0.1261,2.6344,4.0727,0.6227,-0.1909,0,15700
31940,"Marinette, WI-MI",2025,7.1447,Attractive,192169.80586060844,6.5951,-0.1261,2.6344,4.5091,0.3258,0.2455,0,49500
16380,"Celina, OH",2025,7.1392,Attractive,260906.0212437027,6.5951,-0.1261,2.6344,3.5091,0.2424,-0.7545,0,15000
29260,"La Grande, OR",2025,7.1009,Attractive,318228.42195094464,6.5951,-0.1261,2.6344,5.6364,0.9614,1.3728,1,0
44100,"Springfield, IL",2025,7.0659,Attractive,188758.06094886552,6.5951,-0.1261,2.6344,4.1182,-0.1401,-0.1454,0,0
18220,"Connersville, IN",2025,7.0621,Attractive,155508.14731009855,6.5951,-0.1261,2.6344,4.2,-0.6,-0.0636,0,29000
35420,"New Philadelphia-Dover, OH",2025,7.0605,Attractive,202384.30414311957,6.5951,-0.1261,2.6344,4.6636,0.6303,0.4,0,57000
26220,"Hood River, OR",2025,7.0484,Attractive,676824.0827740944,6.5951,-0.1261,2.6344,4.0727,0.6644,-0.1909,1,0
41760,"Sandpoint, ID",2025,7.0317,Attractive,626709.3986018443,6.5951,-0.1261,2.6344,5.1545,-0.0455,0.8909,1,20000
17660,"Coeur d'Alene, ID",2025,7.0196,Attractive,585350.9543158786,6.5951,-0.1261,2.6344,4.4727,0.081,0.2091,1,0
48140,"Wausau, WI",2025,7.0184,Attractive,250483.0717119101,6.5951,-0.1261,2.6344,2.7818,0.1818,-1.4818,0,0
39340,"Provo-Orem-Lehi, UT",2025,6.9939,Attractive,554289.7857377286,6.5951,-0.1261,2.6344,3.4909,0.2326,-0.7727,0,516000
19540,"Decatur, IN",2025,6.9608,Attractive,235842.54919729428,6.5951,-0.1261,2.6344,3.4,-0.5417,-0.8636,0,178000
